valuationDate,isinCode,value,maturityDate,currency
2020-05-29,USD,6.8202,2020-05-29,TRY
2020-05-28,USD,6.8138,2020-05-28,TRY
2020-05-27,USD,6.7739,2020-05-27,TRY
2020-05-26,USD,6.7275,2020-05-26,TRY
2020-05-25,USD,6.81,2020-05-25,TRY
2020-05-22,USD,6.8147,2020-05-22,TRY
2020-05-21,USD,6.7915,2020-05-21,TRY
2020-05-20,USD,6.7912,2020-05-20,TRY
2020-05-19,USD,6.7775,2020-05-19,TRY
2020-05-18,USD,6.8851,2020-05-18,TRY
2020-05-15,USD,6.9012,2020-05-15,TRY
2020-05-14,USD,6.922,2020-05-14,TRY
2020-05-13,USD,6.9748,2020-05-13,TRY
2020-05-12,USD,6.9971,2020-05-12,TRY
2020-05-11,USD,7.0762,2020-05-11,TRY
2020-05-08,USD,7.084,2020-05-08,TRY
2020-05-07,USD,7.1195,2020-05-07,TRY
2020-05-06,USD,7.1968,2020-05-06,TRY
2020-05-05,USD,7.0746,2020-05-05,TRY
2020-05-04,USD,7.043,2020-05-04,TRY
2020-05-01,USD,7.012,2020-05-01,TRY
2020-04-30,USD,6.9864,2020-04-30,TRY
2020-04-29,USD,6.952,2020-04-29,TRY
2020-04-28,USD,6.9868,2020-04-28,TRY
2020-04-27,USD,6.9862,2020-04-27,TRY
2020-04-24,USD,6.9742,2020-04-24,TRY
2020-04-23,USD,6.9462,2020-04-23,TRY
2020-04-22,USD,6.9787,2020-04-22,TRY
2020-04-21,USD,6.9812,2020-04-21,TRY
2020-04-20,USD,6.9402,2020-04-20,TRY
2020-04-17,USD,6.9318,2020-04-17,TRY
2020-04-16,USD,6.9397,2020-04-16,TRY
2020-04-15,USD,6.9118,2020-04-15,TRY
2020-04-14,USD,6.8155,2020-04-14,TRY
2020-04-13,USD,6.7721,2020-04-13,TRY
2020-04-10,USD,6.7001,2020-04-10,TRY
2020-04-09,USD,6.6746,2020-04-09,TRY
2020-04-08,USD,6.7737,2020-04-08,TRY
2020-04-07,USD,6.754,2020-04-07,TRY
2020-04-06,USD,6.7815,2020-04-06,TRY
2020-04-03,USD,6.731,2020-04-03,TRY
2020-04-02,USD,6.6153,2020-04-02,TRY
2020-04-01,USD,6.7029,2020-04-01,TRY
2020-03-31,USD,6.6143,2020-03-31,TRY
2020-03-30,USD,6.5773,2020-03-30,TRY
2020-03-27,USD,6.455,2020-03-27,TRY
2020-03-26,USD,6.3979,2020-03-26,TRY
2020-03-25,USD,6.4169,2020-03-25,TRY
2020-03-24,USD,6.4203,2020-03-24,TRY
2020-03-23,USD,6.5617,2020-03-23,TRY
2020-03-20,USD,6.5525,2020-03-20,TRY
2020-03-19,USD,6.5439,2020-03-19,TRY
2020-03-18,USD,6.4858,2020-03-18,TRY
2020-03-17,USD,6.3974,2020-03-17,TRY
2020-03-16,USD,6.4315,2020-03-16,TRY
2020-03-13,USD,6.3321,2020-03-13,TRY
2020-03-12,USD,6.3159,2020-03-12,TRY
2020-03-11,USD,6.2091,2020-03-11,TRY
2020-03-10,USD,6.1575,2020-03-10,TRY
2020-03-09,USD,6.1442,2020-03-09,TRY
2020-03-06,USD,6.0919,2020-03-06,TRY
2020-03-05,USD,6.1105,2020-03-05,TRY
2020-03-04,USD,6.0773,2020-03-04,TRY
2020-03-03,USD,6.107,2020-03-03,TRY
2020-03-02,USD,6.1743,2020-03-02,TRY
2020-02-28,USD,6.2427,2020-02-28,TRY
2020-02-27,USD,6.2078,2020-02-27,TRY
2020-02-26,USD,6.159,2020-02-26,TRY
2020-02-25,USD,6.1441,2020-02-25,TRY
2020-02-24,USD,6.1177,2020-02-24,TRY
2020-02-21,USD,6.0964,2020-02-21,TRY
2020-02-20,USD,6.1004,2020-02-20,TRY
2020-02-19,USD,6.0823,2020-02-19,TRY
2020-02-18,USD,6.0642,2020-02-18,TRY
2020-02-17,USD,6.0449,2020-02-17,TRY
2020-02-14,USD,6.0505,2020-02-14,TRY
2020-02-13,USD,6.0405,2020-02-13,TRY
2020-02-12,USD,6.042,2020-02-12,TRY
2020-02-11,USD,6.0163,2020-02-11,TRY
2020-02-10,USD,6.0108,2020-02-10,TRY
2020-02-07,USD,6.0153,2020-02-07,TRY
2020-02-06,USD,5.9874,2020-02-06,TRY
2020-02-05,USD,5.9827,2020-02-05,TRY
2020-02-04,USD,5.9801,2020-02-04,TRY
2020-02-03,USD,5.9844,2020-02-03,TRY
2020-01-31,USD,5.9822,2020-01-31,TRY
2020-01-30,USD,5.9725,2020-01-30,TRY
2020-01-29,USD,5.9567,2020-01-29,TRY
2020-01-28,USD,5.9403,2020-01-28,TRY
2020-01-27,USD,5.944,2020-01-27,TRY
2020-01-24,USD,5.9391,2020-01-24,TRY
2020-01-23,USD,5.9344,2020-01-23,TRY
2020-01-22,USD,5.9222,2020-01-22,TRY
2020-01-21,USD,5.9376,2020-01-21,TRY
2020-01-20,USD,5.9132,2020-01-20,TRY
2020-01-17,USD,5.8908,2020-01-17,TRY
2020-01-16,USD,5.8597,2020-01-16,TRY
2020-01-15,USD,5.8758,2020-01-15,TRY
2020-01-14,USD,5.8819,2020-01-14,TRY
2020-01-13,USD,5.8671,2020-01-13,TRY
2020-01-10,USD,5.8777,2020-01-10,TRY
2020-01-09,USD,5.8739,2020-01-09,TRY
2020-01-08,USD,5.9091,2020-01-08,TRY
2020-01-07,USD,5.9727,2020-01-07,TRY
2020-01-06,USD,5.969,2020-01-06,TRY
2020-01-03,USD,5.9723,2020-01-03,TRY
2020-01-02,USD,5.9566,2020-01-02,TRY
2020-01-01,USD,5.9466,2020-01-01,TRY
2019-12-31,USD,5.9489,2019-12-31,TRY
2019-12-30,USD,5.9479,2019-12-30,TRY
2019-12-27,USD,5.9502,2019-12-27,TRY
2019-12-26,USD,5.9335,2019-12-26,TRY
2019-12-25,USD,5.935,2019-12-25,TRY
2019-12-24,USD,5.9468,2019-12-24,TRY
2019-12-23,USD,5.9486,2019-12-23,TRY
2019-12-20,USD,5.94,2019-12-20,TRY
2019-12-19,USD,5.9417,2019-12-19,TRY
2019-12-18,USD,5.9261,2019-12-18,TRY
2019-12-17,USD,5.886,2019-12-17,TRY
2019-12-16,USD,5.8498,2019-12-16,TRY
2019-12-13,USD,5.8082,2019-12-13,TRY
2019-12-12,USD,5.7914,2019-12-12,TRY
2019-12-11,USD,5.8074,2019-12-11,TRY
2019-12-10,USD,5.8057,2019-12-10,TRY
2019-12-09,USD,5.8113,2019-12-09,TRY
2019-12-06,USD,5.7766,2019-12-06,TRY
2019-12-05,USD,5.7485,2019-12-05,TRY
2019-12-04,USD,5.7508,2019-12-04,TRY
2019-12-03,USD,5.7431,2019-12-03,TRY
2019-12-02,USD,5.7415,2019-12-02,TRY
2019-11-29,USD,5.747,2019-11-29,TRY
2019-11-28,USD,5.7585,2019-11-28,TRY
2019-11-27,USD,5.7779,2019-11-27,TRY
2019-11-26,USD,5.7597,2019-11-26,TRY
2019-11-25,USD,5.7416,2019-11-25,TRY
2019-11-22,USD,5.7132,2019-11-22,TRY
2019-11-21,USD,5.6966,2019-11-21,TRY
2019-11-20,USD,5.6997,2019-11-20,TRY
2019-11-19,USD,5.699,2019-11-19,TRY
2019-11-18,USD,5.7369,2019-11-18,TRY
2019-11-15,USD,5.7453,2019-11-15,TRY
2019-11-14,USD,5.7477,2019-11-14,TRY
2019-11-13,USD,5.7403,2019-11-13,TRY
2019-11-12,USD,5.7776,2019-11-12,TRY
2019-11-11,USD,5.7733,2019-11-11,TRY
2019-11-08,USD,5.7668,2019-11-08,TRY
2019-11-07,USD,5.7522,2019-11-07,TRY
2019-11-06,USD,5.7508,2019-11-06,TRY
2019-11-05,USD,5.7532,2019-11-05,TRY
2019-11-04,USD,5.7387,2019-11-04,TRY
2019-11-01,USD,5.7124,2019-11-01,TRY
2019-10-31,USD,5.713,2019-10-31,TRY
2019-10-30,USD,5.702,2019-10-30,TRY
2019-10-29,USD,5.7372,2019-10-29,TRY
2019-10-28,USD,5.7312,2019-10-28,TRY
2019-10-25,USD,5.7748,2019-10-25,TRY
2019-10-24,USD,5.7647,2019-10-24,TRY
2019-10-23,USD,5.7351,2019-10-23,TRY
2019-10-22,USD,5.8084,2019-10-22,TRY
2019-10-21,USD,5.8582,2019-10-21,TRY
2019-10-18,USD,5.7919,2019-10-18,TRY
2019-10-17,USD,5.8299,2019-10-17,TRY
2019-10-16,USD,5.887,2019-10-16,TRY
2019-10-15,USD,5.9164,2019-10-15,TRY
2019-10-14,USD,5.9271,2019-10-14,TRY
2019-10-11,USD,5.8853,2019-10-11,TRY
2019-10-10,USD,5.8365,2019-10-10,TRY
2019-10-09,USD,5.8712,2019-10-09,TRY
2019-10-08,USD,5.831,2019-10-08,TRY
2019-10-07,USD,5.8328,2019-10-07,TRY
2019-10-04,USD,5.6962,2019-10-04,TRY
2019-10-03,USD,5.6947,2019-10-03,TRY
2019-10-02,USD,5.702,2019-10-02,TRY
2019-10-01,USD,5.7231,2019-10-01,TRY
2019-09-30,USD,5.6489,2019-09-30,TRY
2019-09-27,USD,5.6708,2019-09-27,TRY
2019-09-26,USD,5.6655,2019-09-26,TRY
2019-09-25,USD,5.6706,2019-09-25,TRY
2019-09-24,USD,5.6973,2019-09-24,TRY
2019-09-23,USD,5.7174,2019-09-23,TRY
2019-09-20,USD,5.7439,2019-09-20,TRY
2019-09-19,USD,5.7187,2019-09-19,TRY
2019-09-18,USD,5.6768,2019-09-18,TRY
2019-09-17,USD,5.7016,2019-09-17,TRY
2019-09-16,USD,5.7289,2019-09-16,TRY
2019-09-13,USD,5.6861,2019-09-13,TRY
2019-09-12,USD,5.6566,2019-09-12,TRY
2019-09-11,USD,5.7515,2019-09-11,TRY
2019-09-10,USD,5.7683,2019-09-10,TRY
2019-09-09,USD,5.75,2019-09-09,TRY
2019-09-06,USD,5.7155,2019-09-06,TRY
2019-09-05,USD,5.6917,2019-09-05,TRY
2019-09-04,USD,5.667,2019-09-04,TRY
2019-09-03,USD,5.7293,2019-09-03,TRY
2019-09-02,USD,5.8068,2019-09-02,TRY
2019-08-30,USD,5.8306,2019-08-30,TRY
2019-08-29,USD,5.84,2019-08-29,TRY
2019-08-28,USD,5.8134,2019-08-28,TRY
2019-08-27,USD,5.8276,2019-08-27,TRY
2019-08-26,USD,5.8252,2019-08-26,TRY
2019-08-23,USD,5.7599,2019-08-23,TRY
2019-08-22,USD,5.7688,2019-08-22,TRY
2019-08-21,USD,5.7162,2019-08-21,TRY
2019-08-20,USD,5.729,2019-08-20,TRY
2019-08-19,USD,5.6609,2019-08-19,TRY
2019-08-16,USD,5.5785,2019-08-16,TRY
2019-08-15,USD,5.568,2019-08-15,TRY
2019-08-14,USD,5.6128,2019-08-14,TRY
2019-08-13,USD,5.5629,2019-08-13,TRY
2019-08-12,USD,5.564,2019-08-12,TRY
2019-08-09,USD,5.4917,2019-08-09,TRY
2019-08-08,USD,5.4781,2019-08-08,TRY
2019-08-07,USD,5.4938,2019-08-07,TRY
2019-08-06,USD,5.5209,2019-08-06,TRY
2019-08-05,USD,5.5715,2019-08-05,TRY
2019-08-02,USD,5.5597,2019-08-02,TRY
2019-08-01,USD,5.6038,2019-08-01,TRY
2019-07-31,USD,5.5864,2019-07-31,TRY
2019-07-30,USD,5.5597,2019-07-30,TRY
2019-07-29,USD,5.6148,2019-07-29,TRY
2019-07-26,USD,5.6718,2019-07-26,TRY
2019-07-25,USD,5.7027,2019-07-25,TRY
2019-07-24,USD,5.7085,2019-07-24,TRY
2019-07-23,USD,5.7178,2019-07-23,TRY
2019-07-22,USD,5.677,2019-07-22,TRY
2019-07-19,USD,5.6551,2019-07-19,TRY
2019-07-18,USD,5.6181,2019-07-18,TRY
2019-07-17,USD,5.6842,2019-07-17,TRY
2019-07-16,USD,5.7118,2019-07-16,TRY
2019-07-15,USD,5.7148,2019-07-15,TRY
2019-07-12,USD,5.72,2019-07-12,TRY
2019-07-11,USD,5.6734,2019-07-11,TRY
2019-07-10,USD,5.6741,2019-07-10,TRY
2019-07-09,USD,5.7323,2019-07-09,TRY
2019-07-08,USD,5.7367,2019-07-08,TRY
2019-07-05,USD,5.6288,2019-07-05,TRY
2019-07-04,USD,5.5953,2019-07-04,TRY
2019-07-03,USD,5.6249,2019-07-03,TRY
2019-07-02,USD,5.6528,2019-07-02,TRY
2019-07-01,USD,5.6507,2019-07-01,TRY
2019-06-28,USD,5.7921,2019-06-28,TRY
2019-06-27,USD,5.7725,2019-06-27,TRY
2019-06-26,USD,5.7749,2019-06-26,TRY
2019-06-25,USD,5.7949,2019-06-25,TRY
2019-06-24,USD,5.809,2019-06-24,TRY
2019-06-21,USD,5.8214,2019-06-21,TRY
2019-06-20,USD,5.7644,2019-06-20,TRY
2019-06-19,USD,5.7913,2019-06-19,TRY
2019-06-18,USD,5.8284,2019-06-18,TRY
2019-06-17,USD,5.8733,2019-06-17,TRY
2019-06-14,USD,5.9015,2019-06-14,TRY
2019-06-13,USD,5.8682,2019-06-13,TRY
2019-06-12,USD,5.808,2019-06-12,TRY
2019-06-11,USD,5.7976,2019-06-11,TRY
2019-06-10,USD,5.7747,2019-06-10,TRY
2019-06-07,USD,5.831,2019-06-07,TRY
2019-06-06,USD,5.7801,2019-06-06,TRY
2019-06-05,USD,5.731,2019-06-05,TRY
2019-06-04,USD,5.7825,2019-06-04,TRY
2019-06-03,USD,5.8339,2019-06-03,TRY
2019-05-31,USD,5.8382,2019-05-31,TRY
2019-05-30,USD,5.8772,2019-05-30,TRY
2019-05-29,USD,6.0121,2019-05-29,TRY
2019-05-28,USD,6.0319,2019-05-28,TRY
2019-05-27,USD,6.0629,2019-05-27,TRY
2019-05-24,USD,6.0825,2019-05-24,TRY
2019-05-23,USD,6.0964,2019-05-23,TRY
2019-05-22,USD,6.1002,2019-05-22,TRY
2019-05-21,USD,6.0525,2019-05-21,TRY
2019-05-20,USD,6.0272,2019-05-20,TRY
2019-05-17,USD,6.055,2019-05-17,TRY
2019-05-16,USD,6.0457,2019-05-16,TRY
2019-05-15,USD,6.0007,2019-05-15,TRY
2019-05-14,USD,6.0306,2019-05-14,TRY
2019-05-13,USD,6.0594,2019-05-13,TRY
2019-05-10,USD,5.985,2019-05-10,TRY
2019-05-09,USD,6.1926,2019-05-09,TRY
2019-05-08,USD,6.186,2019-05-08,TRY
2019-05-07,USD,6.1511,2019-05-07,TRY
2019-05-06,USD,6.0803,2019-05-06,TRY
2019-05-03,USD,5.9648,2019-05-03,TRY
2019-05-02,USD,5.9645,2019-05-02,TRY
2019-05-01,USD,5.9665,2019-05-01,TRY
2019-04-30,USD,5.9656,2019-04-30,TRY
2019-04-29,USD,5.9483,2019-04-29,TRY
2019-04-26,USD,5.9382,2019-04-26,TRY
2019-04-25,USD,5.9268,2019-04-25,TRY
2019-04-24,USD,5.8753,2019-04-24,TRY
2019-04-23,USD,5.8287,2019-04-23,TRY
2019-04-22,USD,5.8272,2019-04-22,TRY
2019-04-19,USD,5.8112,2019-04-19,TRY
2019-04-18,USD,5.8018,2019-04-18,TRY
2019-04-17,USD,5.7387,2019-04-17,TRY
2019-04-16,USD,5.7704,2019-04-16,TRY
2019-04-15,USD,5.8041,2019-04-15,TRY
2019-04-12,USD,5.7693,2019-04-12,TRY
2019-04-11,USD,5.7388,2019-04-11,TRY
2019-04-10,USD,5.6818,2019-04-10,TRY
2019-04-09,USD,5.6943,2019-04-09,TRY
2019-04-08,USD,5.6903,2019-04-08,TRY
2019-04-05,USD,5.6262,2019-04-05,TRY
2019-04-04,USD,5.5924,2019-04-04,TRY
2019-04-03,USD,5.626,2019-04-03,TRY
2019-04-02,USD,5.605,2019-04-02,TRY
2019-04-01,USD,5.4863,2019-04-01,TRY
2019-03-29,USD,5.5555,2019-03-29,TRY
2019-03-28,USD,5.561,2019-03-28,TRY
2019-03-27,USD,5.3278,2019-03-27,TRY
2019-03-26,USD,5.3279,2019-03-26,TRY
2019-03-25,USD,5.5503,2019-03-25,TRY
2019-03-22,USD,5.7627,2019-03-22,TRY
2019-03-21,USD,5.4652,2019-03-21,TRY
2019-03-20,USD,5.4208,2019-03-20,TRY
2019-03-19,USD,5.4764,2019-03-19,TRY
2019-03-18,USD,5.4683,2019-03-18,TRY
2019-03-15,USD,5.4467,2019-03-15,TRY
2019-03-14,USD,5.4671,2019-03-14,TRY
2019-03-13,USD,5.4564,2019-03-13,TRY
2019-03-12,USD,5.4572,2019-03-12,TRY
2019-03-11,USD,5.4455,2019-03-11,TRY
2019-03-08,USD,5.4303,2019-03-08,TRY
2019-03-07,USD,5.4712,2019-03-07,TRY
2019-03-06,USD,5.4288,2019-03-06,TRY
2019-03-05,USD,5.387,2019-03-05,TRY
2019-03-04,USD,5.3769,2019-03-04,TRY
2019-03-01,USD,5.3742,2019-03-01,TRY
2019-02-28,USD,5.3371,2019-02-28,TRY
2021-04-05,EUR,9.5869,2021-04-05,TRY
2021-04-04,EUR,9.6368,2021-04-04,TRY
2021-04-02,EUR,9.5836,2021-04-02,TRY
2021-04-01,EUR,9.542,2021-04-01,TRY
2021-03-31,EUR,9.6684,2021-03-31,TRY
2021-03-30,EUR,9.7592,2021-03-30,TRY
2021-03-29,EUR,9.6343,2021-03-29,TRY
2021-03-26,EUR,9.5928,2021-03-26,TRY
2021-03-25,EUR,9.342,2021-03-25,TRY
2021-03-24,EUR,9.3536,2021-03-24,TRY
2021-03-23,EUR,9.4064,2021-03-23,TRY
2021-03-22,EUR,9.3033,2021-03-22,TRY
2021-03-19,EUR,8.5868,2021-03-19,TRY
2021-06-18,EUR,8.7209,2021-06-18,TRY
2021-03-17,EUR,8.9855,2021-03-17,TRY
2021-03-16,EUR,8.9139,2021-03-16,TRY
2021-03-15,EUR,8.9837,2021-03-15,TRY
2021-03-12,EUR,9.034,2021-03-12,TRY
2021-03-11,EUR,8.9415,2021-03-11,TRY
2021-03-10,EUR,8.9406,2021-03-10,TRY
2021-03-09,EUR,9.0563,2021-03-09,TRY
2021-03-08,EUR,9.2018,2021-03-08,TRY
2021-03-05,EUR,8.9792,2021-03-05,TRY
2021-03-04,EUR,8.9732,2021-03-04,TRY
2021-03-03,EUR,8.994,2021-03-03,TRY
2021-03-02,EUR,8.882,2021-03-02,TRY
2021-03-01,EUR,8.7665,2021-03-01,TRY
2021-02-26,EUR,8.962,2021-02-26,TRY
2021-02-25,EUR,8.9305,2021-02-25,TRY
2021-02-24,EUR,8.7131,2021-02-24,TRY
2021-02-23,EUR,8.6282,2021-02-23,TRY
2021-02-22,EUR,8.5253,2021-02-22,TRY
2021-02-19,EUR,8.4319,2021-02-19,TRY
2021-02-18,EUR,8.4112,2021-02-18,TRY
2021-02-17,EUR,8.3882,2021-02-17,TRY
2021-02-16,EUR,8.4569,2021-02-16,TRY
